user;rule;nl
1;Auto-flush;A person gets up from the toilet, the sensor detects movement and flushes.
1;Kitchen Safety;A person is not in the kitchen and therefore the light goes out and the alarm sensors come on.
1;Wake up Buttercup;When it's 7:00 a.m. and the person stays in bed for more than 15 minutes then the blinds go up.
1;Rainy day;If tomorrow's weather forecast says it will rain and if there is an event scheduled in the Google Calendar app, then preset to close the windows tomorrow and send a text warning the person to take precautions for the rain.
1;Garage door;When the car enters the garage and if the parked car does not move for 10 seconds, the garage door will close automatically and the lights will turn on.
1;Lights off;When the person leaves the living room, if the person stays out of the room for more than 5 minutes and the TV and/or the light are on. The TV and the light go out.
2;Ambient lounge;While the user is listening to music DECREASE the brightness of the lights on in the lounge
2; house/dog check; If no one is home, FILL the dog bowl with water if it is below the indicated level and turn ON the security cameras
2;visit notification;If the intercom rings and no one is at home, SEND a message to the user's cell phone
2; good morning package; While the user is in the shower and the time is between 7:00 and 9:00 TURN ON the heating in the bathroom and SEND the news of the day
2;GAME OVER ;If the console is on and the user is wearing the vr sensor CLOSE the door of the room and send him a warning after 2 hours of play
2;Back to sci-fi;If the door is closed and while the projector is on and if the user is watching a movie TURN OFF the lights in the room and SET the mobile phone to silent
3; Kitchen extractor fan; While the user is at home and cooking, ACTIVATE the hob extractor fan
3; Temperature and Air Control; If the house temperature is not higher than 17°, TURN UP the heating and CHECK the air humidity level, if humidity <35% ACTIVATE the humidifier
3;Robot Vacuum Cleaner;When floor is dry and if the floor has not been cleaned for more than 48 hours TURN ON robot vacuum cleaner
3; Anti-theft system; If the camera and sensors notice suspicious movements around the house after 10.00 pm and if an unknown user tries to enter through a door or window, ACTIVATE the anti-theft alarm and SEND notification to home users
3;House Party;If House Party is set for today on calendar when it is start time PLAY playlist set to speakers and TURN ON dynamic lights
3; Shelter from Bad Weather; When it is raining outside the house if there are shutters and windows not closed in the rooms of the house or if there are clothes hanging outside, CLOSE all the shutters and open windows and BRING the automatic drying rack back into the house
4;Music during the shower ;When I'm in the shower, turn on my favorite playlist.
4;Food control ;When a certain food is missing in the fridge, send a notification and add the product to the shopping list on the fridge LED.
4;Clothes hanging on the veranda;When the clothes are hanging on the veranda and the weather is fine, activate the retractable pergola.
4;Detect humidity and mould;If the air quality detector registers humidity levels greater than 60% and there are traces of mould, it purifies the air every hour and sends a message to the specialized technician.
