Utente;Regola;Nl
1;Auto-flush;Una persona si alza dalla toilet, il sensore rileva il movimento e esegue lo sciaquone.
1;Kitchen Safety;Una persona non e’ in cucina e quindi la luce si spegne e si accendono i sensori di allarme.
1;Wake up Buttercup;Quando sono le 7:00 a.m. e la persona rimane al letto per più di 15minuti allora si alzano le tapparelle.
1;Rainy day;Se le previsioni del tempo di domani dicono che piove e se nell’app di Google Calendar c’è un evento in programma, allora preimposta di chiudere le finestre domani e invia un sms avvertendo alla persona di prendere le precauzioni per la pioggia.
1;Garage door;Quando la macchina entra nel garage e se la macchina parcheggiata non si muove per 10 secondi, la porta del garage si chiude automaticamente e le luci si accendono.
1;Lights off;Quando la persona esce dal salotto, se la persona resta fuori dalla stanza per più di 5 minuti e la TV e/o la luce sono accessa/e. La TV  e la luce si spengono.
2;Ambient salone;WHILE l’utente sta ascoltando della musica DIMINUISCI la luminosità delle luci accese del salone
2;controllo casa/cane;IF in casa non c’è nessuno, RIEMPI la ciotola del cane d’acqua IF è sotto il livello indicato AND ACCENDI le telecamere di sicurezza
2;notifica visita;IF suonano al citofono AND nessuno è in casa MANDA un messaggio al cellulare dell’utente
2;pacchetto del buongiorno;WHILE l’utente è sotto la doccia AND l’orario è compreso tra le 7:00 e le 9:00 ACCENDI il riscaldamento in bagno AND MANDA le notizie del giorno
2;GAME OVER ;IF la console è accesa AND l’utente indossa il sensore vr CHIUDI la porta della stanza AND mandagli un avviso dopo 2 ora di gioco
2;Back to sci-fi;IF la porta è chiusa AND WHILE il proiettore è acceso AND IF l’utente sta guardando un film SPEGNI le luci della stanza e IMPOSTA il cellulare in silenzioso   
3;Aspiratore Cucina;WHILE l’utente è in casa e sta cucinando ATTIVARE aspiratore del piano cottura
3;Controllo Temperatura e Aria;IF temperatura di casa NOT maggiore di 17° ALZARE i riscaldamenti AND VERIFICARE livello di umidità dell’aria, IF umidità <35% ATTIVARE umidificatore
3;Robot Aspirapolvere;WHEN pavimento è asciutto AND IF il pavimento non è stato pulito per più di 48 ore ACCENDERE robot aspirapolvere
3;Sistema Antifurto;IF telecamera e sensori notano movimenti sospetti attorno alla casa dopo le 22:00 AND IF utente sconosciuto prova ad entrare da una porta o finestra ATTIVARE allarme antifurto AND INVIARE notifica a utenti della casa
3;Festa in Casa;IF festa in casa è impostata per oggi sul calendario WHEN è l’orario di inizio RIPRODUCI playlist impostata sugli altoparlanti AND ATTIVA luci dinamiche
3;Riparo dal Maltempo;WHEN fuori casa piove IF ci sono tapparelle AND finestre NOT chiuse nelle stanze della casa OR IF ci sono dei panni stesi fuori CHIUDERE tutte le tapparelle e le finestre aperte AND RIPORTARE in casa lo stendino automatico
4;Musica durante la doccia ;Quando sono sotto la doccia, attiva la mia playlist preferita.
4;Controllo alimenti ;Quando manca un determinato alimento in frigo, invia una notifica e aggiungi il prodotto nella lista della spesa sul led del frigo.
4;Panni stesi in veranda;Quando i panni sono stesi in veranda e c'è bel tempo, attiva la pergola retrattile.
4;Rilevare umidità e muffa;Se il rilevatore di qualità dell'aria registra livelli di umidità maggiori del 60% e ci sono tracce di muffa, purifica l'aria ogni ora e invia un messaggio al tecnico specializzato.
4;Suonare il citofono quando non sono in casa;"Quando sono in ufficio e bussano al citofono, invia notifica e riproduci al citofono ""sono in ufficio""."
4;Relax serale ;Quando sono sul divano, se sto leggendo un ebook e se l'orario è dopo le 22:00, riduci la luminosità della luce, accendi il camino e attiva massaggiatore del divano.
5;Risparmio multipresa;Quando la multipresa elettrica rileva uno stato di inattività uguale a 1 ora, allora imposta la sua modalità in spento
5;Ricambio sacchetto;Quando il contenitore della spazzatura non rileva il sacchetto, allora attiva l'igienizzatore e inserisci il sacchetto nuovo
5;Accensione scaldaletto;Quando sono le 21:00 e se la temperatura della camera è inferiore a 15°, allora accendi lo scaldaletto
5;Ricordati di bere;"Se il misuratore dell'idratazione calcola che l'utente ha bevuto meno 1L di acqua e lo smartwatch segna che il tempo di attività supera le 6 ore, allora trasmetti ""ricordati di bere"" tramite Alexa e ricorda i rischi della disidratazione tramite app"
5;Culla anticaduta;"Quando l'utente non è in camera da letto e se il sensore della culla rileva un movimento superiore a 10cm dalle barre, allora attiva la rete anticaduta della culla e trasmetti ""pericolo culla!"" tramite Alexa"
5;Modalità lettura;"Quando l'utente è in camera, se pronuncia ""modalità lettura"" ad Alexa o se imposta la modalità lettura dallo smartwatch, allora regola la luminosità dell'abat-jour a 2 e setta lo smartphone in modalità non disturbare"
6;caffè al mattino;Quando suona la sveglia, la macchina del caffè si accende
6;controllo acquario;Se la temperatura dell’acquario è inferiore a 25 gradi, accendi il riscaldatore e mandami una notifica
6;pulizia pavimento;Se è domenica e Rumba non è stato azionato, attivalo
6;salvaguardia device;Se fuori c’è un temporale e la tv è accesa, spegni la tv e tutte le luci della casa
6;riduci dispersione;Se apro la finestra e il riscaldamento è acceso, spegni il sistema di riscaldamento e avvisami con una notifica
6;chiusura casa;Se chiudo la porta di casa, tutte le luci sono spente e le finestre sono tutte chiuse, inserisci l’allarme e avvisami con una notifica.
7;Promemoria numero passi;IF numero di passi della giornata inferiore a 10.000 INVIARE promemoria con numero di passi mancanti
7;Risparmio energia salotto;IF famiglia NOT in soggiorno per più di 20 minuti, SPEGNERE luci e tv e MOSTRARE immagine di sfondo su tv
7;Aria condizionata;WHEN temperatura casa supera i 24° AND qualcuno è in casa ACCENDI l’aria condizionata
7;Pulizie settimanali;IF è domenica o giovedì AND famiglia NOT in casa AVVIA robot aspirapolvere e ACCENDI lavatrice
7;Controllo citofono;WHEN qualcuno suona al citofono IF famiglia NOT in casa AND IF dispositivi in modalità «non disturbare» MOSTRA video telecamera di sorveglianza e VISUALIZZA messaggio su display campanello
7;Controllo screen time bambini;WHEN sono le 23 AND i dispositivi dei bambini sono in uso SPEGNI le luci e INVIA promemoria per spegnere dispositivi e andare a letto
8;Promemoria medicina;"when è l'ora della medicina (tra le 19:00 e le 20:00), invia un promemoria ""Prendi la medicina"""
8;Robot pulizie;when qualcuno non è a casa aziona il robot delle pulizie and spegni le luci.
8;Controllo Frigo;when apri frigo if è aperto da 3 minuti, chiudi frigo
8;Distributore cibo per animali;when sono le 13:00 and sensore distributore rileva la presenza di una scatoletta, apri scatoletta e rilascia contenuto
8;Culla automatica;when sensore rileva presenza del bambino and il volume nella stanza raggiunge gli 80 Decibel then muovi culla and accendi cam.
8;Ventilazione automatica;when sensore rileva l'accensione di un fornello and rilevata presenza di nero fumo and rilevata quantità di gas nell'aria maggiore dello 0.08%, Spegni fornelli, accendi venola e apri le finestre. 
9;Piscina;WHEN c'è un temporale COPRI la piscina
9;Promemoria medicina;IF l'utente NOT ha assunto le medicine tra le 08:00 e le 09:00. INVIARE una notifica sullo smartphone, AND IF l'utente non ha dato nessuna conferma di lettura ATTIVARE la notifica vocale dalle casse bluetooth.
9;Smart TV;WHEN la TV è accesa AND IF non c'è nessuna che guarda lo schermo per più di 30 minuti SPEGNERE la TV.
9;Sveglia;IF è lunedì e martedì AND l'utente non si alza dal lett prima delle 7:30 ALZARE le tapparelle AND ACCENDERE la macchinetta del caffè
9;Luci d’ambiente e accensione forno;IF la cena tra amici è impostata alle 20:00, WHEN sono le 19:30 ACCENDI il forno AND imposta modalità luci soffuse nella sala da pranzo.
