;User;Rule Name;Goal;ECA;Environment;Object/service;Functionality;Operator;Value;Next Operator;Context
0;1;Auto-flush;energy saving;evento;bathroom;toilet;rilevato movimento;uguale;TRUE;;
1;1;Auto-flush;energy saving;azione;bathroom;toilet;sciacquone;uguale;TRUE;;
2;1;Kitchen Safety;energy saving /security;condizione;kitchen;movimento;presenza;uguale;FALSE;;
3;1;Kitchen Safety;energy saving /security;azione;kitchen;luce;si spegne;uguale;TRUE;AND;
4;1;Kitchen Safety;energy saving /security;azione;kitchen;sistema di sicurezza;si accende;uguale;TRUE;;
5;1;Wake up Buttercup;wellbeing/health;evento;bedroom;data e ora;orario;uguale;7.00am;AND;
6;1;Wake up Buttercup;wellbeing/health;condizione;bedroom;movimento;rilevato movimento;per;piu di 15minuti;/;
7;1;Wake up Buttercup;wellbeing/health;azione;bedroom;tapparelle;si aprono;uguale;TRUE;;
8;1;Rainy day;comfort;condizione;no;meteo di domani;pioggia;uguale;TRUE;AND;
9;1;Rainy day;comfort;condizione;no;calendario;evento per domani;uguale;TRUE;/;
10;1;Rainy day;comfort;azione;home;tapparelle;impostare chiusura;uguale;ALLE *ORARIO IN CUI PIOVE*;AND;
11;1;Rainy day;comfort;azione;no;SMS;avvertire sul mal tempo;uguale;INVIA;;
12;1;Garage door;comfort;evento;garage;macchina;entra nel garage;uguale;TRUE;AND;
13;1;Garage door;comfort;condizione;garage;movimento;assenza di movimento;per;10 SECONDI;/;
14;1;Garage door;comfort;azione;garage;porta del garage;si chiude;uguale;TRUE;AND;
15;1;Garage door;comfort;azione;garage;luci;si accendono;uguale;TRUE;;
16;1;Lights off;energy saving;evento;living room;movimento;presenza;uguale;FALSE;AND;
17;1;Lights off;energy saving;condizione;living room;movimento;assenza di movimento;per;5 MINUTI;AND;
18;1;Lights off;energy saving;condizione;living room;TV e luci;accese;uguale;TRUE;;
19;1;Lights off;energy saving;azione;living room;TV;spegnere;uguale;TRUE;AND;
20;1;Lights off;energy saving;azione;living room;Luci;spegnere;uguale;TRUE;;
21;2;notifica visita;security;evento;outside home;citofono;suonare ;uguale;TRUE;AND;
22;2;notifica visita;security;condizione;home;posizione;posizione utente;uguale;fuori casa;;
23;2;notifica visita;security;azione;no;avviso;manda notifica;uguale ;ON;;
24;2;pacchetto del buongiorno;comfort;condizione;bathroom;Doccia ;Aperta;uguale;TRUE;AND;
25;2;pacchetto del buongiorno;comfort;condizione;bathroom;Data e Ora;controllo orario;uguale ;tra le 07:00 e le 09:00;;
26;2;pacchetto del buongiorno;comfort;azione;bathroom ;riscaldamento;attiva riscaldamento;uguale;ON;AND;
27;2;pacchetto del buongiorno;comfort;azione;bathroom;ALEXA;Notizie del giorno ;uguale;ON;;
28;2;GAME OVER ;wellbeing;condizione;dedicated room;Console;Accesa;uguale;TRUE;AND;
29;2;GAME OVER ;wellbeing;condizione;dedicated room;Sensore VR;Indossato;uguale;TRUE;;
30;2;GAME OVER ;wellbeing;azione;dedicated room;porta della stanza;Chiusura;uguale ;TRUE;AND;
31;2;GAME OVER ;wellbeing;azione;dedicated room;Avviso ;avvisa l'utente ;uguale;dopo 2 ore;;
32;2;Back to sci-fi;comfort;evento;dedicated room;porta della stanza;chiusa;uguale;TRUE;AND;
33;2;Back to sci-fi;comfort;condizione;dedicated room;proiettore;accesso;uguale;TRUE;AND;
34;2;Back to sci-fi;comfort;condizione;dedicated room;proiettore;proietta un film ;uguale;TRUE;;
35;2;Back to sci-fi;comfort;azione;dedicated room;luci;spegnimento ;uguale ;TRUE;AND;
36;2;Back to sci-fi;comfort;azione;dedicated room;cellulare;modalità silenziosa;uguale ;TRUE;;
37;3;Aspiratore Cucina;wellbeing/comfort;evento;kitchen;movimento;rilevato uso piano cottura;uguale;TRUE;WHILE;
38;3;Aspiratore Cucina;wellbeing/comfort;azione;kitchen;aspiratore piano cottura;accensione;uguale;TRUE;;
39;3;Controllo Temperatura e Aria;health;condizione;home;misuratore temperatura;temperatura interna;minore uguale di ;17°;;
40;3;Controllo Temperatura e Aria;health;azione;home;riscaldamenti;accensione/aumento calore;uguale;TRUE;AND;
41;3;Controllo Temperatura e Aria;health;azione;home;misuratore qualità aria;controllo umidità;minore di ;35%;;
42;3;Controllo Temperatura e Aria;health;azione;home;umidificatore;accensione;uguale;TRUE;;
43;3;Robot Aspirapolvere;wellbeing/comfort;evento;home;pavimento;controllo umidità;minore uguale di;35%;AND;
