;User;Rule Name;Goal;ECA;Environment;Object/service;Functionality;Operator;Value;Next Operator;Context;Class
0;1;Auto-flush;energy saving;evento;bathroom;toilet;rilevato movimento;uguale;TRUE;;;presence
1;1;Auto-flush;energy saving;azione;bathroom;toilet;sciacquone;uguale;TRUE;;;hygiene
2;1;Kitchen Safety;energy saving /security;condizione;kitchen;movimento;presenza;uguale;FALSE;;;presence
3;1;Kitchen Safety;energy saving /security;azione;kitchen;luce;si spegne;uguale;TRUE;AND;;lights
4;1;Kitchen Safety;energy saving /security;azione;kitchen;sistema di sicurezza;si accende;uguale;TRUE;;;alarm
5;1;Wake up Buttercup;wellbeing/health;evento;bedroom;data e ora;orario;uguale;7.00am;AND;;scheduling
6;1;Wake up Buttercup;wellbeing/health;condizione;bedroom;movimento;rilevato movimento;per;piu di 15minuti;/;;presence
7;1;Wake up Buttercup;wellbeing/health;azione;bedroom;tapparelle;si aprono;uguale;TRUE;;;doors and windows
8;1;Rainy day;comfort;condizione;no;meteo di domani;pioggia;uguale;TRUE;AND;;weather
9;1;Rainy day;comfort;condizione;no;calendario;evento per domani;uguale;TRUE;/;;scheduling
10;1;Rainy day;comfort;azione;home;tapparelle;impostare chiusura;uguale;ALLE *ORARIO IN CUI PIOVE*;AND;;doors and windows
11;1;Rainy day;comfort;azione;no;SMS;avvertire sul mal tempo;uguale;INVIA;;;notification
12;1;Garage door;comfort;evento;garage;macchina;entra nel garage;uguale;TRUE;AND;;presence
13;1;Garage door;comfort;condizione;garage;movimento;assenza di movimento;per;10 SECONDI;/;;presence
14;1;Garage door;comfort;azione;garage;porta del garage;si chiude;uguale;TRUE;AND;;doors and windows
15;1;Garage door;comfort;azione;garage;luci;si accendono;uguale;TRUE;;;lights
16;1;Lights off;energy saving;evento;living room;movimento;presenza;uguale;FALSE;AND;;presence
17;1;Lights off;energy saving;condizione;living room;movimento;assenza di movimento;per;5 MINUTI;AND;;presence
18;1;Lights off;energy saving;condizione;living room;TV e luci;accese;uguale;TRUE;;;lights
19;1;Lights off;energy saving;azione;living room;TV;spegnere;uguale;TRUE;AND;;device
20;1;Lights off;energy saving;azione;living room;Luci;spegnere;uguale;TRUE;;;lights
21;2;notifica visita;security;evento;outside home;citofono;suonare ;uguale;TRUE;AND;;entrances
22;2;notifica visita;security;condizione;home;posizione;posizione utente;uguale;fuori casa;;;presence
23;2;notifica visita;security;azione;no;avviso;manda notifica;uguale ;ON;;;notification
24;2;pacchetto del buongiorno;comfort;condizione;bathroom;Doccia ;Aperta;uguale;TRUE;AND;;hygiene
25;2;pacchetto del buongiorno;comfort;condizione;bathroom;Data e Ora;controllo orario;uguale ;tra le 07:00 e le 09:00;;;scheduling
